,business_id,full_address,hours,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,attributes,type
5684,c7XjwdQ-bGdaOreq4gdgZg,"1401 S Lamb Blvd
Sunrise
Las Vegas, NV 89104","{'Monday': {'close': '22:00', 'open': '06:00'}, 'Tuesday': {'close': '22:00', 'open': '06:00'}, 'Friday': {'close': '22:00', 'open': '06:00'}, 'Wednesday': {'close': '22:00', 'open': '06:00'}, 'Thursday': {'close': '22:00', 'open': '06:00'}, 'Sunday': {'close': '21:00', 'open': '07:00'}, 'Saturday': {'close': '22:00', 'open': '06:00'}}",True,"['Hardware Stores', 'Shopping', 'Nurseries & Gardening', 'Appliances', 'Home & Garden']",Las Vegas,9,The Home Depot,['Sunrise'],-115.082355,NV,3.5,36.156542,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
5685,niQNpRov1LLXQYN29i28Pw,"557 E Sahara Avenue
Suite 222
Eastside
Las Vegas, NV 89104",{},True,"['Specialty Schools', 'Education', 'Bartending Schools']",Las Vegas,9,ABC Bartending Schools,"['Eastside', 'Downtown']",-115.1484655,NV,4.5,36.1437338,{},business
5687,Mgzvnyz8CS_zhKAfJcqbhg,"415 S 6th St
Ste 300
Downtown
Las Vegas, NV 89101","{'Monday': {'close': '18:00', 'open': '09:00'}, 'Tuesday': {'close': '18:00', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Saturday': {'close': '12:00', 'open': '09:00'}}",True,"['Professional Services', 'Criminal Defense Law', 'Lawyers', 'Bankruptcy Law']",Las Vegas,3,Law Office of Joseph A. Scalia,['Downtown'],-115.14184,NV,3.5,36.16452,{},business
5750,tx-bIJoFms2XC8nAHJJ_qA,"755 S Grand Central Pkwy
Downtown
Las Vegas, NV 89106",{},True,"['Shopping', 'Cosmetics & Beauty Supply', 'Beauty & Spas']",Las Vegas,8,L'occitane,['Downtown'],-115.1557538,NV,4.0,36.1652351,"{'By Appointment Only': False, 'Parking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 3}",business
5752,B_kLuc_Zw3iC8Xdxp2GlkA,"855 S Grand Central Pkwy
Downtown
Las Vegas, NV 89106","{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '20:00', 'open': '10:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}",True,"['Fashion', 'Shopping', 'Shoe Stores']",Las Vegas,4,Clarks Bostonian Shoes,['Downtown'],-115.1574466,NV,3.5,36.1624815,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
5804,q28CkzJaV5yKPXysY8xewA,"9901 Eastern Ave
Ste 110
Southeast
Las Vegas, NV 89183","{'Monday': {'close': '21:30', 'open': '11:00'}, 'Tuesday': {'close': '21:30', 'open': '11:00'}, 'Friday': {'close': '22:00', 'open': '11:00'}, 'Wednesday': {'close': '21:30', 'open': '11:00'}, 'Thursday': {'close': '21:30', 'open': '11:00'}, 'Sunday': {'close': '21:30', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '11:00'}}",True,"['Buffets', 'Japanese', 'Chinese', 'Restaurants']",Las Vegas,124,Buffet @ Asia,['Southeast'],-115.118553161621,NV,3.0,36.010452270507805,"{'Alcohol': 'none', 'Noise Level': 'loud', 'Has TV': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Delivery': False, 'Caters': True, 'BYOB': False, 'Corkage': False, 'Accepts Credit Cards': True, 'BYOB/Corkage': 'yes_free', 'Take-out': True, 'Price Range': 2, 'Outdoor Seating': False, 'Takes Reservations': False, 'Waiter Service': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Good For Kids': True, 'Good For Groups': True}",business
5816,JzIEwomO9CGUjzPoomB5_Q,"2050 N Rainbow Boulevard
Las Vegas, NV 89108",{},True,"['Shopping', 'Automotive', 'Computers', 'Home & Garden', 'Car Stereo Installation', 'Appliances']",Las Vegas,35,Best Buy,[],-115.2387154,NV,2.5,36.1963965,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
6324,wU7Es7lUELSgfKX40Uy2MA,"120 N Pavilion Center Dr
Summerlin
Las Vegas, NV 89144",{},True,"['Churches', 'Religious Organizations']",Las Vegas,3,Desert Spring United Methodist Church,['Summerlin'],-115.3325794,NV,4.5,36.1740881,{},business
6586,OmzjQ9yBhWHv6Bpfvzr2Tw,"901 E Johnson St
Tenney - Lapham
Madison, WI 53703","{'Tuesday': {'close': '18:00', 'open': '10:00'}, 'Friday': {'close': '18:00', 'open': '10:00'}, 'Wednesday': {'close': '18:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Sunday': {'close': '16:00', 'open': '12:00'}, 'Saturday': {'close': '18:00', 'open': '10:00'}}",True,"['Hobby Shops', 'Art Supplies', 'Shopping', 'Jewelry', 'Arts & Crafts']",Madison,15,Burnie's Rock Shop,['Tenney - Lapham'],-89.376029,WI,4.5,43.084479,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
6608,ed5VpqG6NlI2_ALQpZ0lLA,"625 State St
Capitol
Madison, WI 53703","{'Monday': {'close': '16:00', 'open': '10:00'}, 'Tuesday': {'close': '16:00', 'open': '10:00'}, 'Friday': {'close': '16:00', 'open': '10:00'}, 'Wednesday': {'close': '16:00', 'open': '10:00'}, 'Thursday': {'close': '16:00', 'open': '10:00'}, 'Saturday': {'close': '16:00', 'open': '10:00'}}",True,"['Greek', 'Mediterranean', 'Restaurants']",Madison,101,Mediterranean Cafe,['Capitol'],-89.3964056,WI,4.5,43.0748824,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Caters': False, 'Noise Level': 'average', 'Good for Kids': True, 'Takes Reservations': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Has TV': False, 'Delivery': False, 'Parking': {'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Order at Counter': True, 'Wheelchair Accessible': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': False, 'Good For Kids': True, 'Good For Groups': False, 'Price Range': 1}",business
6648,kj2jl-pQET8E9A1YVezyHg,"468 State St
Capitol
Madison, WI 53703","{'Monday': {'close': '22:00', 'open': '09:00'}, 'Tuesday': {'close': '22:00', 'open': '09:00'}, 'Friday': {'close': '22:00', 'open': '09:00'}, 'Wednesday': {'close': '22:00', 'open': '09:00'}, 'Thursday': {'close': '22:00', 'open': '09:00'}, 'Sunday': {'close': '22:00', 'open': '10:00'}, 'Saturday': {'close': '22:00', 'open': '09:00'}}",True,"['Food', 'Ice Cream & Frozen Yogurt']",Madison,75,Chocolate Shoppe Ice Cream,['Capitol'],-89.3929474,WI,4.0,43.0748325,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Wi-Fi': 'paid', 'Price Range': 1}",business
6668,Gu87BaXltz6qMyaNUdTHEw,"312 E Mifflin  St
Capitol
Madison, WI 53703",{},True,"['Food', 'Convenience Stores']",Madison,4,The Market Basket,['Capitol'],-89.3820435,WI,2.0,43.0779669,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 3}",business
6757,la6HHAjs9DKETo0qxLAgDg,"507 State St
Capitol
Madison, WI 53703","{'Monday': {'close': '19:00', 'open': '10:00'}, 'Tuesday': {'close': '19:00', 'open': '10:00'}, 'Friday': {'close': '19:00', 'open': '10:00'}, 'Wednesday': {'close': '19:00', 'open': '10:00'}, 'Thursday': {'close': '19:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '19:00', 'open': '10:00'}}",True,"['Gift Shops', 'Flowers & Gifts', 'Shopping']",Madison,12,Art Gecko,['Capitol'],-89.3940609,WI,4.5,43.074633,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 3}",business
6759,v5mjUyUZeWfLTdxXfZYKMg,"805 Williamson St
Williamson - Marquette
Madison, WI 53703","{'Tuesday': {'close': '21:00', 'open': '17:00'}, 'Friday': {'close': '21:00', 'open': '17:00'}, 'Wednesday': {'close': '21:00', 'open': '17:00'}, 'Thursday': {'close': '21:00', 'open': '17:00'}, 'Sunday': {'close': '21:00', 'open': '17:00'}, 'Saturday': {'close': '21:00', 'open': '17:00'}}",True,"['American (New)', 'Cafes', 'Restaurants']",Madison,17,Bon Appetit Cafe,['Williamson - Marquette'],-89.370951,WI,3.0,43.078219,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': True, 'breakfast': False}, 'Noise Level': 'quiet', 'Takes Reservations': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'beer_and_wine', 'Waiter Service': True, 'Accepts Credit Cards': False, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 2}",business
6928,GCeC3Qf1YmageCuNgaVpDA,"2222 S Park St
Burr Oaks
Madison, WI 53713","{'Monday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}}",True,"['Libraries', 'Public Services & Government']",Madison,3,South Madison Branch,['Burr Oaks'],-89.394482,WI,4.0,43.041466,{'Wi-Fi': 'free'},business
7011,zBq9sxQ1lfhqufowqt35yw,"7475 Mineral Point Rd
Madison, WI 53717",{},False,"['Chinese', 'Restaurants']",Madison,3,Hong Kong Cafe West,[],-89.5124142,WI,4.5,43.0585316,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Delivery': True, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
7120,kfYnngcxyboDx8I5JTri7w,"Market Square
6654 Odana Rd
Madison, WI 53719","{'Monday': {'close': '22:00', 'open': '10:00'}, 'Tuesday': {'close': '22:00', 'open': '10:00'}, 'Friday': {'close': '23:00', 'open': '10:00'}, 'Wednesday': {'close': '22:00', 'open': '10:00'}, 'Thursday': {'close': '22:00', 'open': '10:00'}, 'Sunday': {'close': '22:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '10:00'}}",True,"['Food', 'Ice Cream & Frozen Yogurt']",Madison,6,TCBY,[],-89.4946584,WI,4.5,43.0563233,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Wi-Fi': 'free', 'Price Range': 1}",business
7169,ArJEYF1XE5QbuVQVUGjv9g,"402 W Van Buren St
Phoenix, AZ 85003",{},True,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Phoenix,12,Budget Loge Downtown,[],-112.079327,AZ,3.5,33.451825,"{'Dogs Allowed': False, 'Accepts Credit Cards': True, 'Wi-Fi': 'free', 'Price Range': 1}",business
7678,hnOGdF42m6Cwuuh5iuaXbA,"2949 W. Agua Fria Fwy
Phoenix, AZ 85027","{'Monday': {'close': '22:00', 'open': '11:00'}, 'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '22:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '11:00'}}",True,"['Restaurants', 'Italian']",Phoenix,51,Romano's Macaroni Grill,[],-112.122297,AZ,2.5,33.667653,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Caters': True, 'Noise Level': 'average', 'Good for Kids': True, 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
7835,luRNKbjPhUcm3lVcQTC6DA,"1733 E McKellips Road
Tempe, AZ 85281",{},False,"['Shopping', 'Drugstores']",Tempe,9,Allegro Medical,[],-111.911129,AZ,1.0,33.45126,{},business
7844,-njvGjJacPJMJ9YWSr6G3Q,"7318 W Indian School Rd
Phoenix, AZ 85033","{'Monday': {'close': '20:00', 'open': '17:00'}, 'Tuesday': {'close': '14:00', 'open': '11:00'}, 'Friday': {'close': '14:00', 'open': '11:00'}, 'Wednesday': {'close': '14:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '17:00'}, 'Sunday': {'close': '16:00', 'open': '13:00'}, 'Saturday': {'close': '00:00', 'open': '19:00'}}",True,"['Arts & Entertainment', 'Shopping', 'Sporting Goods', 'Skating Rinks', 'Arcades', 'Active Life']",Phoenix,4,Rollero Family Roller Skating Center,[],-112.216864,AZ,3.0,33.495195,"{'Price Range': 1, 'Alcohol': 'none', 'Coat Check': False, 'Happy Hour': False, 'Outdoor Seating': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Smoking': 'no', 'Accepts Credit Cards': False, 'Good for Kids': True, 'Wheelchair Accessible': True}",business
7918,dHtP3bxuQnJxoe4MxVOdkQ,"1242 N. 53Rd Avenue
Phoenix, AZ 85043",{},True,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Phoenix,6,Super 8 Motel - Phoenix West I-10,[],-112.17336,AZ,2.0,33.461886,"{'Accepts Credit Cards': True, 'Wi-Fi': 'free', 'Price Range': 2}",business
7950,Zswx6QW-UDIWBXVC7IASuA,"10235 N Metro Pkwy E
Phoenix, AZ 85051",{},True,"['Books, Mags, Music & Video', 'Shopping', 'Bookstores']",Phoenix,14,Barnes & Noble Booksellers,[],-112.1212794,AZ,2.5,33.5804161,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
8123,E6HzAdx2vyZVyuNoa4-Xaw,"1542 W University Dr
Mesa, AZ 85201",{},True,"['Mexican', 'Restaurants']",Mesa,50,Los Picos Parrilla Restaurant,[],-111.864506,AZ,4.5,33.422522,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}",business
8160,tbDFrvAhfqnBz_6OMsczsA,"702 W University Dr
Ste 4
Mesa, AZ 85201","{'Tuesday': {'close': '16:00', 'open': '08:00'}, 'Friday': {'close': '16:00', 'open': '08:00'}, 'Saturday': {'close': '16:00', 'open': '08:00'}, 'Thursday': {'close': '16:00', 'open': '08:00'}, 'Wednesday': {'close': '16:00', 'open': '08:00'}}",True,"['Pet Groomers', 'Pet Services', 'Pets']",Mesa,12,Trim Time Pet Grooming,[],-111.8463728,AZ,4.5,33.4225075,{},business
8247,rDlf1AGgM0FxKupgEtIFHQ,"3929 E Main St
Ste 21
Mesa, AZ 85205","{'Tuesday': {'close': '17:00', 'open': '08:00'}, 'Friday': {'close': '17:00', 'open': '08:00'}, 'Monday': {'close': '17:00', 'open': '08:00'}, 'Wednesday': {'close': '17:00', 'open': '08:00'}, 'Thursday': {'close': '17:00', 'open': '08:00'}}",True,"['Home Cleaning', 'Home Services']",Mesa,6,Heavenly Scent Professionals LLC,[],-111.747156,AZ,3.5,33.414877,{'Accepts Credit Cards': True},business
8271,MgYvG-iwtcgwMpERl9-Ohw,"6750 E Main St
Ste 113
Mesa, AZ 85205","{'Monday': {'close': '22:00', 'open': '07:00'}, 'Tuesday': {'close': '22:00', 'open': '07:00'}, 'Friday': {'close': '22:00', 'open': '07:00'}, 'Wednesday': {'close': '22:00', 'open': '07:00'}, 'Thursday': {'close': '22:00', 'open': '07:00'}, 'Sunday': {'close': '22:00', 'open': '07:00'}, 'Saturday': {'close': '22:00', 'open': '07:00'}}",True,"['Local Services', 'Dry Cleaning & Laundry']",Mesa,5,Arizona Fluff N Clean,[],-111.685046,AZ,4.5,33.416355,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': False, 'Wi-Fi': 'no', 'Price Range': 2}",business
8412,aI9jpMHlifqBGwca2pK20Q,"950 N Arizona Ave
Chandler, AZ 85225","{'Monday': {'close': '23:59', 'open': '00:00'}, 'Tuesday': {'close': '23:59', 'open': '00:00'}, 'Friday': {'close': '23:59', 'open': '00:00'}, 'Wednesday': {'close': '23:59', 'open': '00:00'}, 'Thursday': {'close': '23:59', 'open': '00:00'}, 'Sunday': {'close': '23:59', 'open': '00:00'}, 'Saturday': {'close': '23:59', 'open': '00:00'}}",True,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Chandler,4,BEST WESTERN Inn Of Chandler,[],-111.8417739,AZ,3.5,33.3199907,"{'Accepts Credit Cards': True, 'Wi-Fi': 'free', 'Price Range': 2}",business
8462,IFxPkgKj7C-znrs0WcJKVA,"836 N Arizona Ave
Chandler, AZ 85225","{'Monday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}}",True,"['Musical Instruments & Teachers', 'Shopping']",Chandler,8,Brindley's Music Center,[],-111.8418708,AZ,5.0,33.3183402,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 1}",business
8464,NrH_WVmpeAPy_TBgB2UgfQ,"670 N Arizona Ave
Ste 35
Chandler, AZ 85225","{'Tuesday': {'close': '18:00', 'open': '07:30'}, 'Monday': {'close': '18:00', 'open': '07:30'}, 'Friday': {'close': '18:00', 'open': '07:30'}, 'Wednesday': {'close': '18:00', 'open': '07:30'}, 'Thursday': {'close': '18:00', 'open': '07:30'}}",True,"['Elementary Schools', 'Education', 'Preschools']",Chandler,3,New Vistas Center for Education,[],-111.842494,AZ,4.0,33.3150369,{},business
8512,cPqDrBq3tL0dCinRFV02Pw,"830 W Warner Rd
Gilbert, AZ 85233","{'Monday': {'close': '00:00', 'open': '11:00'}, 'Tuesday': {'close': '00:00', 'open': '11:00'}, 'Friday': {'close': '01:00', 'open': '11:00'}, 'Wednesday': {'close': '00:00', 'open': '11:00'}, 'Thursday': {'close': '00:00', 'open': '11:00'}, 'Saturday': {'close': '01:00', 'open': '11:00'}}",False,"['American (Traditional)', 'Restaurants']",Gilbert,18,Applebee's,[],-111.8076101,AZ,2.5,33.3358641,"{'Take-out': True, 'Wi-Fi': 'free', 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 2}",business
8577,PMRhNmJmHjugB9NXgn5mug,"4180 N Drinkwater Blvd
Scottsdale, AZ 85251",{},False,"['Steakhouses', 'Restaurants']",Scottsdale,8,Outback Steakhouse,[],-111.9218068,AZ,3.0,33.4960341,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Takes Reservations': True, 'Delivery': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
8621,LZMzNNI5NYsW1cEJ-go6og,"3360 N Scottsdale Road
Scottsdale, AZ 85251","{'Monday': {'close': '22:00', 'open': '11:00'}, 'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '22:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '11:00'}}",True,"['Seafood', 'American (Traditional)', 'Restaurants']",Scottsdale,28,Red Lobster,[],-111.9262272,AZ,3.5,33.4871024,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
8634,MbhDxofXQWE_wavOkPA5cQ,"7014 E Camelback Road
Scottsdale, AZ 85251",{},True,"['Shopping', 'Jewelry']",Scottsdale,3,Swarovski Gallery Store,[],-111.9296765,AZ,3.5,33.5025941,{},business
8640,RxjHseEfxowNP2L6uH7FpQ,"3039 N Scottsdale Rd
Scottsdale, AZ 85251","{'Monday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}}",True,"['Shopping', 'Food', 'Beer, Wine & Spirits', 'Gift Shops', 'Specialty Food', 'Flowers & Gifts']",Scottsdale,24,Sphinx Date Co Palm & Pantry,[],-111.9258717,AZ,4.5,33.4833433,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': False, 'Price Range': 2}",business
8646,5nahZe5bBYUbFWgEfwoNOA,"4402 N Miller Rd
Scottsdale, AZ 85251","{'Monday': {'close': '22:00', 'open': '07:00'}, 'Tuesday': {'close': '22:00', 'open': '07:00'}, 'Friday': {'close': '22:00', 'open': '07:00'}, 'Wednesday': {'close': '22:00', 'open': '07:00'}, 'Thursday': {'close': '22:00', 'open': '07:00'}, 'Sunday': {'close': '22:00', 'open': '07:00'}, 'Saturday': {'close': '22:00', 'open': '07:00'}}",False,"['Food', 'Health Markets', 'Grocery', 'Specialty Food']",Scottsdale,50,Sunflower Market,[],-111.9176429,AZ,4.5,33.5002977,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
8656,D8zX_x3yO1xDHdIt3p6qMQ,"7014 E Camelback Rd
Scottsdale, AZ 85251",{},False,"['Hair Salons', 'Shopping', 'Cosmetics & Beauty Supply', 'Beauty & Spas']",Scottsdale,4,The Body Shop,[],-111.9296765,AZ,4.5,33.5025941,{},business
8703,yedGp-iaruaBykL7TswBtg,"3315 N Scottsdale Rd
Scottsdale, AZ 85251",{},True,"['American (Traditional)', 'Restaurants']",Scottsdale,28,Dennys,[],-111.925595,AZ,3.0,33.48673,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}",business
8729,UQq4E0TD2CWRLYOB1iGMig,"4710 N Scottsdale Rd
Scottsdale, AZ 85251",{},True,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,9,Days Inn Scottsdale Fashion Square,[],-111.9262195,AZ,2.5,33.5056661,"{'Dogs Allowed': True, 'Accepts Credit Cards': True, 'Wi-Fi': 'free', 'Price Range': 2}",business
